MB_CODE_2021,LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
20086080000,21180,Brimbank,2,Victoria,AUS,Australia,0.0093,https://linked.data.gov.au/dataset/asgsed3/MB/20086080000
20700630000,21180,Brimbank,2,Victoria,AUS,Australia,0.0284,https://linked.data.gov.au/dataset/asgsed3/MB/20700630000
20086070000,21180,Brimbank,2,Victoria,AUS,Australia,0.006,https://linked.data.gov.au/dataset/asgsed3/MB/20086070000
20700620000,21180,Brimbank,2,Victoria,AUS,Australia,0.0087,https://linked.data.gov.au/dataset/asgsed3/MB/20700620000
20086060000,21180,Brimbank,2,Victoria,AUS,Australia,0.0328,https://linked.data.gov.au/dataset/asgsed3/MB/20086060000
20700610000,21180,Brimbank,2,Victoria,AUS,Australia,0.0147,https://linked.data.gov.au/dataset/asgsed3/MB/20700610000
20083870000,21180,Brimbank,2,Victoria,AUS,Australia,0.0478,https://linked.data.gov.au/dataset/asgsed3/MB/20083870000
20700600000,21180,Brimbank,2,Victoria,AUS,Australia,0.0112,https://linked.data.gov.au/dataset/asgsed3/MB/20700600000
20083862000,21180,Brimbank,2,Victoria,AUS,Australia,0.0161,https://linked.data.gov.au/dataset/asgsed3/MB/20083862000
20700590000,21180,Brimbank,2,Victoria,AUS,Australia,0.0356,https://linked.data.gov.au/dataset/asgsed3/MB/20700590000
20083861000,21180,Brimbank,2,Victoria,AUS,Australia,0.0455,https://linked.data.gov.au/dataset/asgsed3/MB/20083861000
20700580000,21180,Brimbank,2,Victoria,AUS,Australia,0.083,https://linked.data.gov.au/dataset/asgsed3/MB/20700580000
20083840000,21180,Brimbank,2,Victoria,AUS,Australia,0.0426,https://linked.data.gov.au/dataset/asgsed3/MB/20083840000
20700570000,21180,Brimbank,2,Victoria,AUS,Australia,0.0142,https://linked.data.gov.au/dataset/asgsed3/MB/20700570000
20083830000,21180,Brimbank,2,Victoria,AUS,Australia,0.0659,https://linked.data.gov.au/dataset/asgsed3/MB/20083830000
20700560000,21180,Brimbank,2,Victoria,AUS,Australia,0.0894,https://linked.data.gov.au/dataset/asgsed3/MB/20700560000
20083810000,21180,Brimbank,2,Victoria,AUS,Australia,0.1499,https://linked.data.gov.au/dataset/asgsed3/MB/20083810000
20700550000,21180,Brimbank,2,Victoria,AUS,Australia,0.0196,https://linked.data.gov.au/dataset/asgsed3/MB/20700550000
20083780000,21180,Brimbank,2,Victoria,AUS,Australia,0.0213,https://linked.data.gov.au/dataset/asgsed3/MB/20083780000
20700540000,21180,Brimbank,2,Victoria,AUS,Australia,0.0981,https://linked.data.gov.au/dataset/asgsed3/MB/20700540000
20083770000,21180,Brimbank,2,Victoria,AUS,Australia,0.0364,https://linked.data.gov.au/dataset/asgsed3/MB/20083770000
20700530000,21180,Brimbank,2,Victoria,AUS,Australia,0.051,https://linked.data.gov.au/dataset/asgsed3/MB/20700530000
20083760000,21180,Brimbank,2,Victoria,AUS,Australia,0.0332,https://linked.data.gov.au/dataset/asgsed3/MB/20083760000
20631942250,21180,Brimbank,2,Victoria,AUS,Australia,0.0695,https://linked.data.gov.au/dataset/asgsed3/MB/20631942250
20083750000,21180,Brimbank,2,Victoria,AUS,Australia,0.0388,https://linked.data.gov.au/dataset/asgsed3/MB/20083750000
20700520000,21180,Brimbank,2,Victoria,AUS,Australia,0.0597,https://linked.data.gov.au/dataset/asgsed3/MB/20700520000
20083740000,21180,Brimbank,2,Victoria,AUS,Australia,0.0488,https://linked.data.gov.au/dataset/asgsed3/MB/20083740000
20700510000,21180,Brimbank,2,Victoria,AUS,Australia,0.0453,https://linked.data.gov.au/dataset/asgsed3/MB/20700510000
20083730000,21180,Brimbank,2,Victoria,AUS,Australia,0.0136,https://linked.data.gov.au/dataset/asgsed3/MB/20083730000
20632005060,21180,Brimbank,2,Victoria,AUS,Australia,0.1192,https://linked.data.gov.au/dataset/asgsed3/MB/20632005060
20083710000,21180,Brimbank,2,Victoria,AUS,Australia,0.0542,https://linked.data.gov.au/dataset/asgsed3/MB/20083710000
20699590000,21180,Brimbank,2,Victoria,AUS,Australia,0.0131,https://linked.data.gov.au/dataset/asgsed3/MB/20699590000
20083700000,21180,Brimbank,2,Victoria,AUS,Australia,0.0107,https://linked.data.gov.au/dataset/asgsed3/MB/20083700000
20699600000,21180,Brimbank,2,Victoria,AUS,Australia,0.0076,https://linked.data.gov.au/dataset/asgsed3/MB/20699600000
20081800000,21180,Brimbank,2,Victoria,AUS,Australia,0.0316,https://linked.data.gov.au/dataset/asgsed3/MB/20081800000
20699610000,21180,Brimbank,2,Victoria,AUS,Australia,0.0514,https://linked.data.gov.au/dataset/asgsed3/MB/20699610000
20081793000,21180,Brimbank,2,Victoria,AUS,Australia,0.0748,https://linked.data.gov.au/dataset/asgsed3/MB/20081793000
20699620000,21180,Brimbank,2,Victoria,AUS,Australia,1.4354,https://linked.data.gov.au/dataset/asgsed3/MB/20699620000
20081792000,21180,Brimbank,2,Victoria,AUS,Australia,0.0148,https://linked.data.gov.au/dataset/asgsed3/MB/20081792000
20699630000,21180,Brimbank,2,Victoria,AUS,Australia,0.6061,https://linked.data.gov.au/dataset/asgsed3/MB/20699630000
20081791000,21180,Brimbank,2,Victoria,AUS,Australia,0.0457,https://linked.data.gov.au/dataset/asgsed3/MB/20081791000
20090030000,21180,Brimbank,2,Victoria,AUS,Australia,0.0183,https://linked.data.gov.au/dataset/asgsed3/MB/20090030000
20081780000,21180,Brimbank,2,Victoria,AUS,Australia,0.0483,https://linked.data.gov.au/dataset/asgsed3/MB/20081780000
20699640000,21180,Brimbank,2,Victoria,AUS,Australia,0.0326,https://linked.data.gov.au/dataset/asgsed3/MB/20699640000
20081770000,21180,Brimbank,2,Victoria,AUS,Australia,0.0562,https://linked.data.gov.au/dataset/asgsed3/MB/20081770000
20631921450,21180,Brimbank,2,Victoria,AUS,Australia,0.0175,https://linked.data.gov.au/dataset/asgsed3/MB/20631921450
20081760000,21180,Brimbank,2,Victoria,AUS,Australia,0.0358,https://linked.data.gov.au/dataset/asgsed3/MB/20081760000
20631927930,21180,Brimbank,2,Victoria,AUS,Australia,0.0206,https://linked.data.gov.au/dataset/asgsed3/MB/20631927930
20081750000,21180,Brimbank,2,Victoria,AUS,Australia,0.0422,https://linked.data.gov.au/dataset/asgsed3/MB/20081750000
20699650000,21180,Brimbank,2,Victoria,AUS,Australia,0.0103,https://linked.data.gov.au/dataset/asgsed3/MB/20699650000
20081740000,21180,Brimbank,2,Victoria,AUS,Australia,0.0207,https://linked.data.gov.au/dataset/asgsed3/MB/20081740000
20699670000,21180,Brimbank,2,Victoria,AUS,Australia,0.0124,https://linked.data.gov.au/dataset/asgsed3/MB/20699670000
20081732000,21180,Brimbank,2,Victoria,AUS,Australia,0.0156,https://linked.data.gov.au/dataset/asgsed3/MB/20081732000
20699690000,21180,Brimbank,2,Victoria,AUS,Australia,0.0388,https://linked.data.gov.au/dataset/asgsed3/MB/20699690000
20081731000,21180,Brimbank,2,Victoria,AUS,Australia,0.0185,https://linked.data.gov.au/dataset/asgsed3/MB/20081731000
20631928550,21180,Brimbank,2,Victoria,AUS,Australia,0.0379,https://linked.data.gov.au/dataset/asgsed3/MB/20631928550
20081720000,21180,Brimbank,2,Victoria,AUS,Australia,0.0052,https://linked.data.gov.au/dataset/asgsed3/MB/20081720000
20631923010,21180,Brimbank,2,Victoria,AUS,Australia,0.1353,https://linked.data.gov.au/dataset/asgsed3/MB/20631923010
20081710000,21180,Brimbank,2,Victoria,AUS,Australia,0.0291,https://linked.data.gov.au/dataset/asgsed3/MB/20081710000
20631928540,21180,Brimbank,2,Victoria,AUS,Australia,0.0118,https://linked.data.gov.au/dataset/asgsed3/MB/20631928540
20081700000,21180,Brimbank,2,Victoria,AUS,Australia,0.0424,https://linked.data.gov.au/dataset/asgsed3/MB/20081700000
20699700000,21180,Brimbank,2,Victoria,AUS,Australia,0.0189,https://linked.data.gov.au/dataset/asgsed3/MB/20699700000
