LPHU,Postcode,Population,SEIFA
NEPHU,3067,9126,9
NEPHU,3066,9179,2
NEPHU,3065,10413,2
NEPHU,3064,114421,2
NEPHU,3063,552,9
NEPHU,3062,21149,
NEPHU,3061,4994,1
NEPHU,3060,14307,1
NEPHU,3059,21245,8
NEPHU,3054,8211,10
NEPHU,3049,9814,5
NEPHU,3048,18028,1
NEPHU,3047,21482,1
NEPHU,3045,30,9
NEPHU,3043,17942,4
NEPHU,3036,5977,9
Loddon Mallee,3762,54,10
Loddon Mallee,3756,15913,6
Loddon Mallee,3624,507,2
Loddon Mallee,3623,879,2
Loddon Mallee,3622,510,5
Loddon Mallee,3621,2435,2
Loddon Mallee,3620,8342,3
Loddon Mallee,3612,1772,1
Loddon Mallee,3599,116,3
Loddon Mallee,3597,412,4
Loddon Mallee,3596,32,2
Loddon Mallee,3595,614,1
Loddon Mallee,3594,529,1
Loddon Mallee,3591,77,8
Loddon Mallee,3590,289,7
Loddon Mallee,3589,270,6
Loddon Mallee,3588,346,2
Loddon Mallee,3586,812,7
Loddon Mallee,3585,11544,2
Loddon Mallee,3584,1085,4
Loddon Mallee,3583,92,4
Loddon Mallee,3581,76,7
Loddon Mallee,3580,1094,1
Loddon Mallee,3579,5504,2
Loddon Mallee,3576,21,6
Loddon Mallee,3575,848,2
Loddon Mallee,3573,267,4
Loddon Mallee,3572,98,5
Loddon Mallee,3571,241,5
Loddon Mallee,3570,821,4
Loddon Mallee,3568,2946,3
Loddon Mallee,3567,644,2
Loddon Mallee,3566,521,2
Loddon Mallee,3565,111,8
Loddon Mallee,3564,17134,4
Loddon Mallee,3563,838,2
Loddon Mallee,3562,192,8
Loddon Mallee,3561,4511,3
Loddon Mallee,3559,515,5
Loddon Mallee,3558,925,2
Loddon Mallee,3557,907,5
Loddon Mallee,3556,14111,1
Loddon Mallee,3555,21037,2
Loddon Mallee,3551,35584,8
Loddon Mallee,3550,41839,3
Loddon Mallee,3549,4051,1
Loddon Mallee,3546,304,4
Loddon Mallee,3544,205,4
Loddon Mallee,3542,100,7
Loddon Mallee,3540,208,1
Loddon Mallee,3537,1123,3
Loddon Mallee,3533,711,2
Loddon Mallee,3531,129,5
Loddon Mallee,3530,68,5
Loddon Mallee,3529,70,5
Loddon Mallee,3527,703,2
Loddon Mallee,3525,1339,2
Loddon Mallee,3523,3978,1
Loddon Mallee,3520,83,1
Loddon Mallee,3518,1263,1
Loddon Mallee,3517,1535,1
Loddon Mallee,3516,679,4
Loddon Mallee,3515,2515,7
Loddon Mallee,3512,314,5
Loddon Mallee,3509,162,6
Loddon Mallee,3507,123,6
Loddon Mallee,3506,,9
Loddon Mallee,3505,4971,2
Loddon Mallee,3501,2158,8
Loddon Mallee,3500,34589,1
Loddon Mallee,3498,6010,5
Loddon Mallee,3496,6482,1
Loddon Mallee,3494,610,1
Loddon Mallee,3491,69,4
Loddon Mallee,3490,1308,3
Loddon Mallee,3489,13,4
Loddon Mallee,3488,42,3
Loddon Mallee,3485,205,2
Loddon Mallee,3483,900,5
Loddon Mallee,3482,125,6
Loddon Mallee,3480,1790,3
Loddon Mallee,3478,2607,1
Loddon Mallee,3477,829,4
Loddon Mallee,3475,296,1
Loddon Mallee,3472,1517,1
Loddon Mallee,3465,10094,1
Loddon Mallee,3464,1194,3
Loddon Mallee,3463,2528,4
Loddon Mallee,3462,1262,4
Loddon Mallee,3461,4580,5
Loddon Mallee,3458,2371,7
Loddon Mallee,3453,1848,8
Loddon Mallee,3451,5818,5
Loddon Mallee,3450,7594,4
Loddon Mallee,3448,987,6
Loddon Mallee,3447,499,6
Loddon Mallee,3446,1067,7
Loddon Mallee,3444,10081,5
Loddon Mallee,3442,8616,9
Loddon Mallee,3441,1439,10
Loddon Mallee,3440,2087,10
Loddon Mallee,3438,2490,10
Loddon Mallee,3437,11686,9
Loddon Mallee,3435,3197,7
Loddon Mallee,3434,6115,8
Loddon Mallee,3433,157,9
Loddon Mallee,3432,126,7
Loddon Mallee,3431,4336,10
Loddon Mallee,3430,266,7
Loddon Mallee,3395,356,3
Loddon Mallee,3393,2603,1
Loddon Mallee,3364,2260,7
Grampians,3491,69,4
Grampians,3490,1308,3
Grampians,3489,13,4
Grampians,3488,42,3
Grampians,3487,33,3
Grampians,3485,205,2
Grampians,3480,1790,3
Grampians,3478,2607,1
Grampians,3477,829,4
Grampians,3475,296,1
Grampians,3472,1517,1
Grampians,3469,199,3
Grampians,3468,202,1
Grampians,3467,1343,1
Grampians,3465,10094,1
Grampians,3464,1194,3
Grampians,3461,4580,5
Grampians,3460,2852,4
Grampians,3458,2371,7
Grampians,3451,5818,5
Grampians,3447,499,6
Grampians,3446,1067,7
Grampians,3444,10081,5
Grampians,3424,726,3
Grampians,3423,370,1
Grampians,3420,216,7
Grampians,3419,859,5
Grampians,3418,2879,3
Grampians,3415,6,7
Grampians,3414,1718,1
Grampians,3413,132,8
Grampians,3412,263,1
Grampians,3409,978,5
Grampians,3401,4577,8
Grampians,3400,15192,2
Grampians,3396,627,2
Grampians,3395,356,3
Grampians,3393,2603,1
Grampians,3392,558,2
Grampians,3391,93,5
Grampians,3390,889,2
Grampians,3388,528,3
Grampians,3387,219,6
Grampians,3385,496,5
Grampians,3384,650,3
Grampians,3381,1377,6
Grampians,3380,6224,1
Grampians,3379,722,3
Grampians,3378,87,7
Grampians,3377,9618,1
Grampians,3375,177,6
Grampians,3374,396,6
Grampians,3373,2469,2
Grampians,3371,1092,1
Grampians,3370,1907,1
Grampians,3364,2260,7
Grampians,3363,3576,4
Grampians,3361,677,2
Grampians,3360,789,2
Grampians,3358,21149,
Grampians,3357,3790,9
Grampians,3356,15621,1
Grampians,3355,13077,1
Grampians,3352,18909,7
Grampians,3351,9113,5
Grampians,3350,66001,5
Grampians,3345,1405,7
Grampians,3342,3950,4
Grampians,3341,1630,7
Grampians,3340,25653,5
Grampians,3334,510,3
Grampians,3319,361,3
Grampians,3318,1188,3
Grampians,3317,132,4
Grampians,3312,1011,6
Grampians,3293,292,3
Grampians,3272,1667,2
Grampians,3271,144,6
Goulburn Valley,3858,3093,2
Goulburn Valley,3779,449,6
Goulburn Valley,3778,166,5
Goulburn Valley,3777,10929,5
Goulburn Valley,3764,10575,5
Goulburn Valley,3763,1641,5
Goulburn Valley,3762,54,10
Goulburn Valley,3758,2255,8
Goulburn Valley,3757,9674,7
Goulburn Valley,3756,15913,6
Goulburn Valley,3753,4690,7
Goulburn Valley,3730,9728,3
Goulburn Valley,3728,617,1
Goulburn Valley,3727,215,5
Goulburn Valley,3726,360,5
Goulburn Valley,3725,597,6
Goulburn Valley,3723,3782,6
Goulburn Valley,3722,5810,6
Goulburn Valley,3720,634,3
Goulburn Valley,3719,370,5
